col_0,1,2,3
Service Description,"Amount
-without VAT-",quantity,Total Amount
Basic Fee wmView,"130,00 €",1,"130,00 €"
Basis fee for additional user accounts,"10,00 €",0,"0,00 €"
Basic Fee wmPos,"50,00 €",0,"0,00 €"
Basic Fee wmGuide,"1.000,00 €",0,"0,00 €"
Change of user accounts,"10,00 €",0,"0,00 €"
Transaction Fee T1,"0,58 €",14,"8,12 €"
Transaction Fee T2,"0,70 €",0,"0,00 €"
Transaction Fee T3,"1,50 €",162,"243,00 €"
Transaction Fee T4,"0,50 €",0,"0,00 €"
Transaction Fee T5,"0,80 €",0,"0,00 €"
Transaction Fee T6,"1,80 €",0,"0,00 €"
Transaction Fee G1,"0,30 €",0,"0,00 €"
Transaction Fee G2,"0,30 €",0,"0,00 €"
Transaction Fee G3,"0,40 €",0,"0,00 €"
Transaction Fee G4,"0,40 €",0,"0,00 €"
Transaction Fee G5,"0,30 €",0,"0,00 €"
Transaction Fee G6,"0,30 €",0,"0,00 €"
,Total,,"381,12 €"
,VAT 19 %,,"72,41 €"
,Gross Amount incl. VAT,,"453,53 €"
